id_commande,id_client,date_commande,produit,quantite,prix_unitaire
1001,9,2023-08-07,Laptop Pro,1.0,1200.50$
1002,26,2023-10-02,Clavier Mécanique,1.0,150.25$
1003,71,2025-02-26,Laptop Pro,2.0,1200.50$
1004,87,2024-07-11,Webcam HD,,99.99$
1005,51,2025-04-24,Écran 4K,1.0,850.99$
1006,96,2025-06-19,Clavier Mécanique,1.0,150.25$
1007,98,2024-07-11,Souris Gamer,3.0,75.00$
1008,88,2024-05-05,Clavier Mécanique,1.0,150.25$
1009,41,2024-09-25,Écran 4K,2.0,850.99$
1010,36,2024-05-24,Écran 4K,1.0,850.99$
1011,12,2023-09-08,Webcam HD,1.0,99.99$
1012,100,2023-09-25,Clavier Mécanique,2.0,150.25$
1013,64,2025-01-25,Clavier Mécanique,1.0,150.25$
1014,86,2023-08-21,Webcam HD,2.0,99.99$
1015,6,2025-06-28,Clavier Mécanique,2.0,150.25$
1016,21,2024-04-27,Laptop Pro,2.0,1200.50$
1017,24,2023-09-20,Clavier Mécanique,1.0,150.25$
1018,98,2023-08-11,Laptop Pro,2.0,1200.50$
1019,77,2025-05-17,Clavier Mécanique,1.0,150.25$
1020,71,2024-06-22,Clavier Mécanique,1.0,150.25$
1021,35,2023-07-04,Écran 4K,1.0,850.99$
1022,56,2024-03-08,Écran 4K,1.0,850.99$
1023,82,2024-04-08,Souris Gamer,1.0,75.00$
1024,28,2025-01-12,Souris Gamer,2.0,75.00$
1025,79,2025-06-19,Écran 4K,2.0,850.99$
1026,4,2023-08-14,Laptop Pro,2.0,1200.50$
1027,35,2024-03-12,Souris Gamer,1.0,75.00$
1028,91,2024-09-22,Clavier Mécanique,2.0,150.25$
1029,76,2023-09-06,Clavier Mécanique,1.0,150.25$
1030,50,2024-05-24,Clavier Mécanique,2.0,150.25$
1031,90,2024-01-15,Laptop Pro,1.0,1200.50$
1032,6,2024-11-03,Clavier Mécanique,,150.25$
1033,26,2024-09-16,Webcam HD,,99.99$
1034,33,2024-04-28,Écran 4K,3.0,850.99$
1035,32,2025-05-24,Laptop Pro,,1200.50$
1036,24,2024-10-28,Laptop Pro,2.0,1200.50$
1037,30,2023-10-20,Souris Gamer,1.0,75.00$
1038,5,2024-08-15,Webcam HD,2.0,99.99$
1039,69,2023-08-30,Laptop Pro,,1200.50$
1040,7,2023-12-13,Webcam HD,,99.99$
1041,54,2024-02-13,Webcam HD,1.0,99.99$
1042,80,2023-08-20,Souris Gamer,3.0,75.00$
1043,95,2025-02-21,Souris Gamer,1.0,75.00$
1044,66,2025-05-21,Souris Gamer,1.0,75.00$
1045,56,2023-08-18,Clavier Mécanique,1.0,150.25$
1046,35,2024-03-15,Souris Gamer,1.0,75.00$
1047,10,2025-04-06,Laptop Pro,2.0,1200.50$
1048,67,2023-11-17,Webcam HD,1.0,99.99$
1049,41,2025-06-26,Webcam HD,1.0,99.99$
1050,85,2023-10-20,Souris Gamer,2.0,75.00$
1051,52,2023-10-22,Laptop Pro,3.0,1200.50$
1052,37,2024-08-22,Laptop Pro,1.0,1200.50$
1053,32,2025-06-11,Laptop Pro,,1200.50$
1054,22,2024-12-07,Souris Gamer,3.0,75.00$
1055,14,2023-11-17,Webcam HD,1.0,99.99$
1056,36,2023-09-20,Laptop Pro,2.0,1200.50$
1057,96,2023-09-12,Clavier Mécanique,1.0,150.25$
1058,3,2024-07-11,Clavier Mécanique,2.0,150.25$
1059,19,2024-12-04,Laptop Pro,1.0,1200.50$
1060,96,2023-08-02,Écran 4K,1.0,850.99$
1061,50,2025-05-21,Laptop Pro,1.0,1200.50$
1062,91,2024-12-01,Clavier Mécanique,1.0,150.25$
1063,1,2024-04-02,Clavier Mécanique,1.0,150.25$
1064,33,2024-12-26,Laptop Pro,1.0,1200.50$
1065,15,2024-11-12,Écran 4K,1.0,850.99$
1066,83,2025-04-26,Écran 4K,1.0,850.99$
1067,96,2025-06-03,Écran 4K,1.0,850.99$
1068,41,2025-03-29,Écran 4K,,850.99$
1069,49,2024-04-24,Laptop Pro,,1200.50$
1070,85,2024-03-03,Clavier Mécanique,2.0,150.25$
1071,23,2023-11-16,Clavier Mécanique,1.0,150.25$
1072,81,2023-07-20,Souris Gamer,1.0,75.00$
1073,10,2023-07-09,Souris Gamer,3.0,75.00$
1074,68,2024-03-05,Webcam HD,2.0,99.99$
1075,38,2025-02-03,Écran 4K,2.0,850.99$
1076,93,2024-08-23,Clavier Mécanique,1.0,150.25$
1077,16,2023-11-18,Clavier Mécanique,1.0,150.25$
1078,19,2024-08-30,Souris Gamer,2.0,75.00$
1079,64,2025-02-27,Laptop Pro,1.0,1200.50$
1080,36,2023-12-03,Laptop Pro,1.0,1200.50$
1081,5,2024-11-07,Clavier Mécanique,3.0,150.25$
1082,96,2024-06-15,Webcam HD,1.0,99.99$
1083,85,2023-07-22,Clavier Mécanique,2.0,150.25$
1084,61,2025-06-21,Écran 4K,1.0,850.99$
1085,42,2024-01-31,Écran 4K,1.0,850.99$
1086,7,2024-02-29,Clavier Mécanique,1.0,150.25$
1087,41,2024-08-10,Clavier Mécanique,1.0,150.25$
1088,30,2024-10-18,Clavier Mécanique,1.0,150.25$
1089,100,2024-09-02,Écran 4K,1.0,850.99$
1090,51,2024-10-30,Laptop Pro,2.0,1200.50$
1091,51,2025-06-05,Écran 4K,1.0,850.99$
1092,36,2025-02-14,Laptop Pro,1.0,1200.50$
1093,86,2023-10-23,Écran 4K,1.0,850.99$
1094,50,2024-12-19,Souris Gamer,,75.00$
1095,41,2024-06-28,Webcam HD,1.0,99.99$
1096,84,2023-10-24,Laptop Pro,2.0,1200.50$
1097,83,2024-03-29,Clavier Mécanique,1.0,150.25$
1098,61,2024-11-15,Laptop Pro,2.0,1200.50$
1099,68,2025-06-03,Écran 4K,3.0,850.99$
1100,43,2025-04-24,Webcam HD,1.0,99.99$
1101,61,2024-09-29,Webcam HD,1.0,99.99$
1102,14,2024-01-26,Webcam HD,2.0,99.99$
1103,90,2025-05-03,Webcam HD,1.0,99.99$
1104,72,2025-03-20,Webcam HD,1.0,99.99$
1105,90,2024-07-20,Webcam HD,1.0,99.99$
1106,8,2024-08-21,Laptop Pro,1.0,1200.50$
1107,23,2023-07-04,Écran 4K,1.0,850.99$
1108,62,2024-03-04,Souris Gamer,,75.00$
1109,23,2024-04-18,Écran 4K,1.0,850.99$
1110,41,2025-02-09,Souris Gamer,,75.00$
1111,30,2025-05-26,Laptop Pro,1.0,1200.50$
1112,50,2025-06-17,Webcam HD,1.0,99.99$
1113,28,2023-07-21,Clavier Mécanique,2.0,150.25$
1114,18,2024-07-27,Souris Gamer,2.0,75.00$
1115,99,2023-10-04,Souris Gamer,,75.00$
1116,69,2024-08-07,Souris Gamer,1.0,75.00$
1117,88,2023-09-02,Écran 4K,1.0,850.99$
1118,17,2023-11-07,Souris Gamer,1.0,75.00$
1119,16,2024-04-17,Webcam HD,1.0,99.99$
1120,30,2024-08-30,Laptop Pro,1.0,1200.50$
1121,79,2023-07-08,Webcam HD,1.0,99.99$
1122,81,2025-05-19,Écran 4K,1.0,850.99$
1123,10,2024-01-16,Clavier Mécanique,1.0,150.25$
1124,15,2024-04-06,Laptop Pro,3.0,1200.50$
1125,2,2024-05-27,Laptop Pro,1.0,1200.50$
1126,66,2024-03-18,Laptop Pro,1.0,1200.50$
1127,73,2023-06-30,Clavier Mécanique,1.0,150.25$
1128,32,2023-11-25,Écran 4K,,850.99$
1129,2,2025-02-19,Webcam HD,1.0,99.99$
1130,96,2025-06-07,Clavier Mécanique,1.0,150.25$
1131,74,2024-08-19,Souris Gamer,1.0,75.00$
1132,17,2025-04-09,Écran 4K,1.0,850.99$
1133,77,2025-04-18,Laptop Pro,2.0,1200.50$
1134,47,2023-07-20,Souris Gamer,2.0,75.00$
1135,16,2023-12-30,Écran 4K,1.0,850.99$
1136,58,2024-08-26,Clavier Mécanique,1.0,150.25$
1137,63,2025-03-22,Webcam HD,1.0,99.99$
1138,40,2024-03-13,Clavier Mécanique,1.0,150.25$
1139,57,2024-01-09,Souris Gamer,1.0,75.00$
1140,12,2023-12-13,Écran 4K,1.0,850.99$
1141,61,2024-09-19,Souris Gamer,,75.00$
1142,80,2025-06-29,Webcam HD,1.0,99.99$
1143,56,2024-05-02,Clavier Mécanique,1.0,150.25$
1144,75,2024-07-10,Clavier Mécanique,1.0,150.25$
1145,57,2024-02-24,Souris Gamer,1.0,75.00$
1146,80,2024-01-13,Clavier Mécanique,2.0,150.25$
1147,8,2024-03-15,Clavier Mécanique,1.0,150.25$
1148,10,2024-09-26,Souris Gamer,2.0,75.00$
1149,99,2024-04-21,Webcam HD,3.0,99.99$
1150,92,2023-11-24,Écran 4K,2.0,850.99$
1151,69,2023-11-09,Laptop Pro,3.0,1200.50$
1152,53,2025-03-10,Clavier Mécanique,,150.25$
1153,56,2024-05-23,Webcam HD,1.0,99.99$
1154,80,2024-05-16,Écran 4K,1.0,850.99$
1155,48,2025-03-20,Laptop Pro,1.0,1200.50$
1156,73,2023-12-03,Webcam HD,1.0,99.99$
1157,92,2024-04-28,Webcam HD,2.0,99.99$
1158,23,2025-04-25,Laptop Pro,1.0,1200.50$
1159,83,2025-04-17,Laptop Pro,1.0,1200.50$
1160,17,2024-01-17,Clavier Mécanique,1.0,150.25$
1161,61,2025-02-06,Écran 4K,2.0,850.99$
1162,28,2023-08-17,Écran 4K,1.0,850.99$
1163,74,2024-09-27,Écran 4K,1.0,850.99$
1164,31,2024-11-11,Écran 4K,1.0,850.99$
1165,79,2025-03-24,Souris Gamer,2.0,75.00$
1166,73,2025-06-27,Écran 4K,1.0,850.99$
1167,54,2024-10-14,Souris Gamer,1.0,75.00$
1168,20,2024-03-29,Laptop Pro,3.0,1200.50$
1169,100,2024-01-08,Clavier Mécanique,1.0,150.25$
1170,3,2024-06-19,Laptop Pro,2.0,1200.50$
1171,72,2025-03-05,Clavier Mécanique,1.0,150.25$
1172,11,2025-04-29,Écran 4K,1.0,850.99$
1173,94,2025-03-17,Webcam HD,1.0,99.99$
1174,15,2024-11-20,Laptop Pro,2.0,1200.50$
1175,10,2023-10-06,Clavier Mécanique,2.0,150.25$
1176,28,2024-12-29,Laptop Pro,3.0,1200.50$
1177,94,2023-09-29,Souris Gamer,1.0,75.00$
1178,59,2025-05-16,Webcam HD,2.0,99.99$
1179,82,2023-11-12,Clavier Mécanique,1.0,150.25$
1180,36,2024-02-16,Souris Gamer,1.0,75.00$
1181,8,2025-04-15,Clavier Mécanique,1.0,150.25$
1182,20,2023-12-07,Webcam HD,1.0,99.99$
1183,5,2023-07-08,Laptop Pro,,1200.50$
1184,76,2024-06-22,Écran 4K,2.0,850.99$
1185,90,2024-10-06,Clavier Mécanique,3.0,150.25$
1186,14,2023-09-04,Laptop Pro,2.0,1200.50$
1187,75,2023-10-29,Écran 4K,3.0,850.99$
1188,53,2023-07-11,Webcam HD,2.0,99.99$
1189,16,2024-06-06,Webcam HD,1.0,99.99$
1190,65,2023-08-12,Webcam HD,2.0,99.99$
1191,34,2024-06-09,Laptop Pro,3.0,1200.50$
1192,46,2024-10-09,Clavier Mécanique,1.0,150.25$
1193,98,2024-08-09,Écran 4K,,850.99$
1194,18,2024-09-27,Clavier Mécanique,3.0,150.25$
1195,3,2024-10-06,Écran 4K,1.0,850.99$
1196,54,2024-10-10,Webcam HD,3.0,99.99$
1197,37,2025-04-29,Écran 4K,1.0,850.99$
1198,54,2025-03-15,Écran 4K,1.0,850.99$
1199,58,2024-03-31,Laptop Pro,1.0,1200.50$
1200,79,2024-04-07,Écran 4K,1.0,850.99$
1201,82,2024-03-28,Clavier Mécanique,1.0,150.25$
1202,36,2023-07-01,Écran 4K,1.0,850.99$
1203,42,2023-11-12,Écran 4K,1.0,850.99$
1204,80,2024-06-05,Laptop Pro,1.0,1200.50$
1205,73,2025-04-19,Souris Gamer,3.0,75.00$
1206,33,2024-04-22,Clavier Mécanique,1.0,150.25$
1207,37,2025-01-09,Clavier Mécanique,1.0,150.25$
1208,95,2024-07-19,Clavier Mécanique,1.0,150.25$
1209,52,2023-12-11,Écran 4K,,850.99$
1210,75,2025-04-14,Souris Gamer,1.0,75.00$
1211,62,2024-06-22,Webcam HD,2.0,99.99$
1212,16,2023-10-22,Clavier Mécanique,,150.25$
1213,35,2025-01-28,Webcam HD,2.0,99.99$
1214,46,2025-03-10,Webcam HD,1.0,99.99$
1215,8,2023-08-17,Laptop Pro,1.0,1200.50$
1216,78,2024-02-27,Clavier Mécanique,1.0,150.25$
1217,38,2025-06-15,Laptop Pro,1.0,1200.50$
1218,79,2024-04-19,Webcam HD,1.0,99.99$
1219,14,2024-09-03,Webcam HD,2.0,99.99$
1220,12,2023-12-08,Clavier Mécanique,1.0,150.25$
1221,61,2024-02-11,Clavier Mécanique,2.0,150.25$
1222,22,2024-08-08,Clavier Mécanique,3.0,150.25$
1223,84,2025-03-25,Écran 4K,,850.99$
1224,9,2024-05-27,Souris Gamer,1.0,75.00$
1225,90,2024-05-11,Webcam HD,1.0,99.99$
1226,3,2024-08-22,Clavier Mécanique,3.0,150.25$
1227,38,2023-12-31,Laptop Pro,3.0,1200.50$
1228,92,2024-12-25,Laptop Pro,1.0,1200.50$
1229,84,2024-04-09,Webcam HD,1.0,99.99$
1230,26,2025-01-03,Webcam HD,,99.99$
1231,20,2024-04-29,Écran 4K,3.0,850.99$
1232,36,2023-07-21,Laptop Pro,1.0,1200.50$
1233,83,2025-04-23,Laptop Pro,3.0,1200.50$
1234,82,2024-07-18,Clavier Mécanique,1.0,150.25$
1235,3,2025-06-10,Clavier Mécanique,2.0,150.25$
1236,6,2024-07-07,Souris Gamer,1.0,75.00$
1237,60,2024-03-14,Laptop Pro,2.0,1200.50$
1238,30,2024-02-14,Clavier Mécanique,2.0,150.25$
1239,71,2023-12-04,Clavier Mécanique,2.0,150.25$
1240,59,2024-05-08,Clavier Mécanique,,150.25$
1241,27,2024-07-02,Souris Gamer,1.0,75.00$
1242,40,2024-04-10,Souris Gamer,1.0,75.00$
1243,65,2023-12-26,Écran 4K,1.0,850.99$
1244,100,2024-08-15,Souris Gamer,1.0,75.00$
1245,31,2024-09-22,Webcam HD,1.0,99.99$
1246,12,2023-10-05,Écran 4K,1.0,850.99$
1247,46,2023-08-06,Souris Gamer,1.0,75.00$
1248,38,2024-08-03,Laptop Pro,1.0,1200.50$
